District,Year,Month,Rainfall,Inflow From Other States,Consumption,Irrigation,Industry,Domestic
20,2026,1,62.33,1627.16,11.53,7.06,0.49,1.02
20,2026,2,47.89,2017.34,44.50,55.50,0.20,0.61
20,2026,3,55.48,1336.54,18.81,15.48,0.38,0.66
20,2026,4,37.64,348.68,21.39,17.53,0.26,0.79
20,2026,5,9.73,172.37,18.12,17.13,0.26,0.83
20,2026,6,1.57,105.59,14.92,15.12,0.23,0.79
20,2026,7,1.79,85.22,12.45,13.48,0.22,0.74
20,2026,8,11.87,103.55,10.46,11.52,0.26,0.71
20,2026,9,54.88,1600.96,8.37,3.43,0.44,0.85
20,2026,10,44.60,2052.63,38.91,48.28,0.13,0.54
20,2026,11,54.59,1379.98,17.92,15.40,0.35,0.64
20,2026,12,37.64,361.36,20.40,16.74,0.24,0.76
20,2027,1,10.44,171.15,17.58,16.59,0.25,0.82
20,2027,2,1.83,105.50,14.68,14.88,0.22,0.78
20,2027,3,1.77,84.91,12.37,13.38,0.21,0.74
20,2027,4,11.16,102.15,10.41,11.55,0.25,0.71
20,2027,5,53.39,1550.09,7.17,2.62,0.42,0.81
20,2027,6,44.18,2060.47,38.34,48.21,0.13,0.55
20,2027,7,53.79,1400.07,17.90,15.59,0.35,0.64
20,2027,8,38.14,371.23,20.28,16.65,0.23,0.75
20,2027,9,10.82,172.49,17.53,16.52,0.25,0.82
20,2027,10,1.96,106.25,14.68,14.87,0.22,0.78
20,2027,11,1.71,84.98,12.40,13.40,0.21,0.74
20,2027,12,10.81,101.34,10.41,11.59,0.25,0.71
20,2028,1,51.86,1510.61,6.31,2.78,0.42,0.80
20,2028,2,43.76,2064.17,37.98,48.27,0.13,0.55
20,2028,3,53.24,1413.58,17.91,15.75,0.34,0.63
20,2028,4,38.53,378.30,20.21,16.61,0.23,0.74
20,2028,5,11.10,173.57,17.51,16.48,0.24,0.82
20,2028,6,2.06,106.86,14.69,14.87,0.22,0.78
20,2028,7,1.68,85.05,12.42,13.41,0.21,0.74
20,2028,8,10.59,100.82,10.42,11.62,0.25,0.71
20,2028,9,50.87,1482.93,5.73,2.88,0.41,0.80
20,2028,10,43.45,2066.62,37.70,48.24,0.13,0.55
20,2028,11,52.82,1423.27,17.93,15.86,0.34,0.63
20,2028,12,38.81,383.31,20.17,16.59,0.23,0.73
21,2024,1,381.24,1174.83,212.22,211.04,0.06,0.14
21,2024,2,137.70,946.85,196.25,195.73,0.03,0.01
21,2024,3,59.72,296.97,174.32,176.62,0.13,0.09
21,2024,4,43.05,33.57,132.51,139.00,0.03,0.08
21,2024,5,162.02,81.01,87.59,85.65,0.25,0.31
21,2024,6,527.80,30.25,63.13,56.83,0.08,0.13
21,2024,7,1068.78,1028.61,255.66,259.65,0.09,0.29
21,2024,8,68.22,1694.76,40.99,23.54,0.77,0.17
21,2024,9,69.96,709.67,41.73,35.33,0.82,0.34
21,2024,10,17.01,222.07,86.45,83.74,0.24,0.49
21,2024,11,9.08,96.92,50.46,49.14,0.25,0.53
21,2024,12,4.42,82.53,22.96,20.98,0.50,0.80
21,2025,1,4.69,79.80,14.34,15.26,0.37,0.78
21,2025,2,60.77,309.80,4.96,2.38,0.63,0.92
21,2025,3,607.27,813.85,93.60,72.44,3.78,6.46
21,2025,4,695.31,1286.54,156.25,131.11,4.21,6.97
21,2025,5,11.83,1836.38,49.91,45.14,0.81,0.83
21,2025,6,71.62,897.47,28.95,26.46,0.78,0.88
21,2025,7,22.38,317.68,43.22,39.28,0.55,0.88
21,2025,8,10.33,189.25,31.63,27.11,0.50,0.88
21,2025,9,2.50,127.32,20.27,19.88,0.41,0.85
21,2025,10,3.08,92.00,13.60,14.74,0.29,0.76
21,2025,11,23.21,113.22,10.67,10.83,0.39,0.74
21,2025,12,132.21,1480.56,37.92,36.73,1.19,2.26
21,2026,1,190.35,1397.75,117.47,101.23,1.79,2.91
21,2026,2,45.26,1257.57,41.58,34.38,0.68,0.79
21,2026,3,48.89,349.36,39.77,32.54,0.55,0.91
21,2026,4,15.62,205.02,29.31,25.29,0.47,0.90
21,2026,5,3.18,130.55,19.98,19.23,0.40,0.85
21,2026,6,2.83,100.47,15.46,16.20,0.34,0.80
21,2026,7,14.96,105.47,11.74,12.22,0.33,0.73
21,2026,8,82.93,1544.58,20.30,17.28,0.72,1.45
21,2026,9,77.31,1819.77,77.42,82.97,0.52,1.30
21,2026,10,57.08,1216.27,23.12,16.88,0.50,0.71
21,2026,11,40.45,339.21,26.65,21.55,0.37,0.86
21,2026,12,10.31,184.29,21.12,19.73,0.32,0.86
21,2027,1,1.25,111.86,16.13,16.23,0.28,0.81
21,2027,2,1.97,88.97,13.15,14.17,0.25,0.76
21,2027,3,14.44,107.74,10.78,11.51,0.29,0.71
21,2027,4,61.30,1631.74,11.29,6.81,0.48,1.01
21,2027,5,47.44,2021.73,43.75,54.41,0.19,0.60
21,2027,6,55.49,1339.75,18.67,15.44,0.37,0.66
21,2027,7,37.56,348.75,21.25,17.41,0.26,0.79
21,2027,8,9.77,171.93,18.04,17.05,0.26,0.83
21,2027,9,1.59,105.46,14.89,15.09,0.23,0.79
21,2027,10,1.79,85.16,12.44,13.46,0.22,0.74
21,2027,11,11.82,103.46,10.45,11.52,0.26,0.71
21,2027,12,54.78,1600.14,8.35,3.37,0.44,0.85
21,2028,1,44.57,2053.22,38.82,48.17,0.13,0.54
21,2028,2,54.56,1380.84,17.91,15.40,0.35,0.64
21,2028,3,37.64,361.67,20.38,16.72,0.23,0.76
21,2028,4,10.46,171.14,17.57,16.58,0.25,0.82
21,2028,5,1.83,105.50,14.68,14.88,0.22,0.78
21,2028,6,1.76,84.90,12.37,13.38,0.21,0.74
21,2028,7,11.15,102.13,10.41,11.55,0.25,0.71
21,2028,8,53.32,1548.37,7.13,2.63,0.42,0.81
21,2028,9,44.16,2060.69,38.32,48.20,0.13,0.55
21,2028,10,53.77,1400.53,17.90,15.60,0.35,0.64
21,2028,11,38.15,371.46,20.27,16.65,0.23,0.75
21,2028,12,10.83,172.52,17.52,16.51,0.25,0.82
23,2024,1,68.32,710.10,50.37,45.50,0.51,0.49
23,2024,2,32.73,249.71,39.52,33.14,0.46,0.83
23,2024,3,13.09,192.77,30.17,26.75,0.53,0.92
23,2024,4,4.57,104.58,22.69,21.54,0.52,0.87
23,2024,5,53.58,83.69,12.18,11.51,0.64,0.83
23,2024,6,51.26,1038.25,3.06,3.51,0.50,0.86
23,2024,7,219.01,1402.82,102.35,90.31,1.74,3.03
23,2024,8,30.60,1438.73,74.67,70.75,0.73,1.14
23,2024,9,65.46,477.95,34.43,27.39,0.64,0.89
23,2024,10,20.32,231.85,31.53,27.11,0.47,0.91
23,2024,11,5.65,145.34,21.21,19.88,0.40,0.86
23,2024,12,2.26,106.97,16.26,16.85,0.36,0.81
23,2025,1,9.97,99.71,12.52,13.29,0.32,0.75
23,2025,2,49.38,1189.68,2.76,1.62,0.47,0.83
23,2025,3,69.14,1937.11,55.69,65.90,0.47,1.13
23,2025,4,49.62,1462.73,22.58,18.76,0.38,0.66
23,2025,5,45.53,423.82,22.11,18.19,0.27,0.73
23,2025,6,13.55,192.11,19.22,17.84,0.27,0.84
23,2025,7,2.73,116.14,15.65,15.60,0.24,0.80
23,2025,8,1.46,88.17,13.07,13.98,0.23,0.75
23,2025,9,9.75,98.48,10.65,11.90,0.25,0.71
23,2025,10,46.56,1284.77,4.21,2.24,0.40,0.77
23,2025,11,44.55,2059.67,38.46,50.49,0.18,0.63
23,2025,12,49.93,1484.43,18.58,16.75,0.33,0.62
23,2026,1,41.81,415.33,19.96,16.54,0.22,0.70
23,2026,2,12.67,181.31,17.59,16.46,0.24,0.82
23,2026,3,2.64,110.90,14.85,14.93,0.22,0.79
23,2026,4,1.54,85.81,12.58,13.53,0.21,0.75
23,2026,5,9.50,98.37,10.47,11.77,0.24,0.71
23,2026,6,46.47,1314.66,4.45,2.38,0.39,0.76
23,2026,7,43.20,2069.23,37.27,49.28,0.15,0.60
23,2026,8,50.42,1478.26,18.28,16.55,0.33,0.62
23,2026,9,41.23,410.83,19.88,16.44,0.22,0.70
23,2026,10,12.47,179.71,17.50,16.38,0.24,0.82
23,2026,11,2.56,110.12,14.79,14.88,0.22,0.79
23,2026,12,1.55,85.56,12.53,13.49,0.21,0.75
23,2027,1,9.60,98.61,10.45,11.74,0.24,0.71
23,2027,2,46.87,1339.65,4.52,2.40,0.40,0.76
23,2027,3,42.88,2070.68,37.10,49.00,0.14,0.59
23,2027,4,50.75,1470.42,18.17,16.43,0.33,0.62
23,2027,5,40.78,406.97,19.91,16.44,0.22,0.71
23,2027,6,12.31,178.75,17.47,16.37,0.24,0.82
23,2027,7,2.50,109.66,14.76,14.87,0.22,0.79
23,2027,8,1.57,85.48,12.51,13.48,0.21,0.75
23,2027,9,9.71,98.85,10.44,11.73,0.24,0.71
23,2027,10,47.15,1357.48,4.62,2.53,0.40,0.76
23,2027,11,42.68,2070.85,36.94,48.60,0.14,0.58
23,2027,12,50.99,1464.94,18.10,16.35,0.33,0.62
23,2028,1,40.46,404.27,19.93,16.44,0.22,0.71
23,2028,2,12.19,178.06,17.46,16.36,0.24,0.82
23,2028,3,2.46,109.30,14.74,14.86,0.22,0.79
23,2028,4,1.58,85.42,12.50,13.47,0.21,0.75
23,2028,5,9.79,99.03,10.44,11.71,0.24,0.71
23,2028,6,47.43,1370.43,4.61,2.52,0.40,0.76
23,2028,7,42.73,2070.72,37.02,48.61,0.14,0.58
23,2028,8,51.14,1460.84,18.08,16.30,0.33,0.62
23,2028,9,40.24,402.50,19.97,16.47,0.22,0.71
23,2028,10,12.10,177.68,17.46,16.37,0.24,0.82
23,2028,11,2.42,109.11,14.74,14.86,0.22,0.79
23,2028,12,1.59,85.38,12.49,13.46,0.21,0.75
24,2024,1,248.84,1001.40,220.59,217.21,0.04,0.06
24,2024,2,97.85,527.70,181.37,177.09,0.11,0.07
24,2024,3,67.10,165.28,140.52,145.15,0.12,0.07
24,2024,4,145.04,17.38,97.58,97.52,0.14,0.23
24,2024,5,535.66,40.68,79.86,74.55,0.18,0.29
24,2024,6,878.33,666.62,239.47,235.22,0.19,0.01
24,2024,7,45.59,912.01,116.42,104.57,0.39,0.02
24,2024,8,47.51,262.32,91.62,96.63,0.31,0.16
24,2024,9,181.57,84.80,95.08,91.81,0.18,0.34
24,2024,10,499.78,105.10,103.03,94.72,0.28,0.35
24,2024,11,537.91,342.10,225.53,222.27,0.29,0.04
24,2024,12,39.36,226.51,162.13,166.53,0.14,0.08
24,2025,1,200.35,131.69,103.68,100.64,0.13,0.45
24,2025,2,757.81,237.00,115.72,106.73,0.25,0.52
24,2025,3,659.08,925.71,273.15,265.94,0.32,0.19
24,2025,4,55.98,775.51,70.12,62.73,0.68,0.04
24,2025,5,41.77,178.18,106.60,111.98,0.21,0.11
24,2025,6,156.44,33.16,93.74,91.15,0.22,0.33
24,2025,7,489.11,67.15,88.22,82.24,0.23,0.30
24,2025,8,615.65,416.38,216.98,209.79,0.22,0.14
24,2025,9,56.73,381.71,160.81,160.11,0.15,0.02
24,2025,10,143.36,175.61,106.22,106.07,0.02,0.33
24,2025,11,598.97,198.02,106.02,96.87,0.29,0.57
24,2025,12,682.85,693.28,249.77,237.74,0.34,0.24
24,2026,1,42.86,470.09,125.90,125.93,0.26,0.07
24,2026,2,69.76,115.79,115.18,120.17,0.07,0.14
24,2026,3,400.46,58.64,93.49,86.77,0.29,0.54
24,2026,4,826.90,402.18,183.46,174.36,0.28,0.33
24,2026,5,212.59,574.47,234.95,232.97,0.09,0.20
24,2026,6,37.98,236.52,101.29,108.18,0.31,0.12
24,2026,7,293.85,79.65,99.58,93.54,0.24,0.50
24,2026,8,771.95,269.86,146.03,136.93,0.30,0.48
24,2026,9,461.46,710.92,265.87,259.35,0.34,0.16
24,2026,10,43.31,392.59,96.86,99.36,0.43,0.10
24,2026,11,104.37,106.80,106.59,107.18,0.03,0.27
24,2026,12,568.79,84.53,95.04,87.29,0.31,0.55
24,2027,1,796.72,662.77,253.79,243.33,0.34,0.19
24,2027,2,33.95,464.47,142.38,141.77,0.21,0.01
24,2027,3,43.37,155.33,107.12,112.16,0.19,0.06
24,2027,4,419.74,81.57,88.86,80.85,0.26,0.53
24,2027,5,848.30,463.04,191.89,183.30,0.28,0.33
24,2027,6,167.47,555.93,225.65,223.62,0.06,0.20
24,2027,7,34.04,218.35,104.65,111.30,0.28,0.16
24,2027,8,269.56,65.66,97.46,91.92,0.24,0.48
24,2027,9,802.30,238.33,134.98,127.07,0.26,0.41
24,2027,10,530.53,805.03,282.65,275.03,0.36,0.11
24,2027,11,50.65,578.66,75.00,72.83,0.63,0.08
24,2027,12,65.08,154.56,104.74,108.58,0.14,0.03
24,2028,1,375.04,64.24,92.16,85.99,0.28,0.49
24,2028,2,729.39,307.77,173.87,164.42,0.27,0.20
24,2028,3,197.96,423.57,238.24,239.25,0.06,0.11
24,2028,4,29.55,191.30,114.36,120.89,0.24,0.15
24,2028,5,395.76,99.27,93.19,84.63,0.24,0.52
24,2028,6,863.95,463.22,180.93,172.29,0.29,0.47
24,2028,7,251.81,733.41,223.70,218.84,0.17,0.25
24,2028,8,39.96,252.09,103.21,110.66,0.31,0.07
24,2028,9,154.23,66.07,104.63,102.94,0.19,0.42
24,2028,10,663.99,105.24,102.41,95.09,0.32,0.50
24,2028,11,735.05,765.19,282.77,273.84,0.37,0.12
24,2028,12,38.92,600.33,97.32,92.00,0.50,0.04
25,2024,1,216.81,1235.61,201.75,208.44,0.07,0.10
25,2024,2,76.49,577.83,168.06,165.74,0.12,0.16
25,2024,3,44.12,168.81,132.57,138.23,0.16,0.14
25,2024,4,57.51,36.43,91.54,93.93,0.01,0.02
25,2024,5,308.30,12.39,55.75,49.87,0.08,0.08
25,2024,6,850.00,285.96,95.37,100.08,0.16,0.34
25,2024,7,657.52,1465.29,294.92,297.76,0.01,0.09
25,2024,8,90.70,1576.54,15.46,6.14,0.96,0.44
25,2024,9,58.42,480.14,43.98,42.71,0.70,0.55
25,2024,10,3.93,186.14,73.45,70.29,0.22,0.51
25,2024,11,10.88,89.19,38.62,38.87,0.31,0.60
25,2024,12,5.10,86.37,18.77,18.33,0.47,0.83
25,2025,1,8.03,85.26,13.26,14.14,0.35,0.76
25,2025,2,140.07,1100.53,14.43,13.43,0.87,1.84
25,2025,3,422.98,1159.93,124.28,101.96,3.10,5.18
25,2025,4,67.33,1321.90,112.14,95.17,1.90,2.70
25,2025,5,75.51,844.15,32.24,26.20,0.82,0.81
25,2025,6,19.91,290.97,47.30,41.23,0.52,0.86
25,2025,7,9.90,159.10,31.31,26.73,0.53,0.85
25,2025,8,7.06,124.96,21.18,20.21,0.47,0.86
25,2025,9,7.14,100.62,14.88,15.44,0.37,0.79
25,2025,10,27.45,120.04,10.45,10.68,0.43,0.75
25,2025,11,263.17,1106.18,72.56,55.20,2.17,3.85
25,2025,12,439.42,1004.94,125.39,93.08,3.80,6.23
25,2026,1,81.03,938.50,116.41,90.37,2.92,4.32
25,2026,2,21.99,1058.13,50.58,42.30,1.29,1.34
25,2026,3,22.70,347.96,50.29,44.40,0.60,0.95
25,2026,4,13.25,171.62,35.36,30.58,0.60,0.82
25,2026,5,12.38,137.61,23.38,22.05,0.55,0.88
25,2026,6,9.06,109.20,16.51,16.74,0.43,0.81
25,2026,7,21.84,109.27,11.95,11.81,0.41,0.76
25,2026,8,198.61,1236.54,58.42,46.93,1.73,3.21
25,2026,9,353.64,1044.37,121.59,91.62,3.40,5.56
25,2026,10,70.95,930.34,109.43,84.97,2.70,3.99
25,2026,11,31.05,940.31,51.91,42.77,1.29,1.45
25,2026,12,24.48,318.53,48.72,42.36,0.61,0.89
25,2027,1,12.54,158.00,33.46,28.75,0.60,0.84
25,2027,2,11.66,131.99,22.64,21.45,0.54,0.88
25,2027,3,11.24,110.46,16.08,16.20,0.43,0.80
25,2027,4,26.21,116.47,11.43,11.34,0.45,0.76
25,2027,5,280.86,1034.30,73.66,55.73,2.29,4.05
25,2027,6,497.57,996.29,125.43,93.44,3.97,6.53
25,2027,7,90.08,972.90,122.07,94.96,2.99,4.40
25,2027,8,27.78,1147.86,44.95,39.56,1.15,1.13
25,2027,9,21.64,360.99,49.40,44.01,0.59,0.97
25,2027,10,13.46,183.09,35.94,31.16,0.58,0.82
25,2027,11,11.99,141.12,23.55,22.18,0.54,0.89
25,2027,12,7.35,108.06,16.55,16.91,0.41,0.81
25,2028,1,18.46,107.17,12.16,12.21,0.38,0.75
25,2028,2,148.30,1389.04,39.29,36.47,1.31,2.45
25,2028,3,255.00,1219.34,122.13,97.80,2.52,4.06
25,2028,4,9.37,1340.66,68.57,65.99,1.03,1.35
25,2028,5,46.78,403.33,42.14,33.32,0.62,0.98
25,2028,6,19.24,219.74,33.92,29.31,0.53,0.87
25,2028,7,8.34,140.03,22.58,20.83,0.47,0.88
25,2028,8,4.14,109.10,16.88,17.29,0.40,0.82
25,2028,9,12.89,103.29,12.65,13.10,0.35,0.75
25,2028,10,74.93,1484.86,12.98,9.20,0.62,1.23
25,2028,11,83.72,1827.62,77.41,82.94,0.56,1.36
25,2028,12,55.12,1262.30,23.69,17.66,0.49,0.71
26,2024,1,446.45,566.62,123.07,112.32,0.09,0.08
26,2024,2,424.71,471.39,136.87,126.81,0.04,0.27
26,2024,3,412.79,416.47,154.46,145.11,0.15,0.39
26,2024,4,351.81,455.20,155.60,147.96,0.12,0.42
26,2024,5,249.97,274.41,143.18,144.49,0.07,0.44
26,2024,6,172.39,47.40,157.15,163.73,0.19,0.33
26,2024,7,429.09,57.59,132.58,124.95,0.42,0.57
26,2024,8,669.69,310.16,188.33,177.97,0.40,0.55
26,2024,9,275.97,463.99,199.97,196.31,0.14,0.31
26,2024,10,117.18,201.14,125.43,131.64,0.08,0.31
26,2024,11,480.33,153.09,119.17,111.00,0.38,0.73
26,2024,12,671.69,408.53,203.01,193.33,0.40,0.51
26,2025,1,185.88,412.84,188.74,189.23,0.02,0.29
26,2025,2,92.95,123.55,133.17,140.57,0.05,0.26
26,2025,3,434.69,76.15,109.54,101.08,0.33,0.63
26,2025,4,806.66,432.33,195.72,184.91,0.38,0.54
26,2025,5,220.65,577.99,209.88,205.65,0.11,0.29
26,2025,6,41.03,195.41,114.03,123.30,0.22,0.02
26,2025,7,340.44,69.90,103.16,96.53,0.29,0.56
26,2025,8,777.65,291.18,162.42,152.89,0.33,0.50
26,2025,9,387.76,625.29,251.10,246.33,0.29,0.21
26,2025,10,40.04,280.93,107.72,114.00,0.31,0.04
26,2025,11,182.93,87.39,105.74,103.65,0.19,0.45
26,2025,12,704.91,155.52,114.40,105.14,0.32,0.53
26,2026,1,678.55,793.97,280.18,270.86,0.38,0.16
26,2026,2,42.04,578.34,93.97,90.46,0.52,0.04
26,2026,3,51.62,159.09,104.74,109.76,0.18,0.04
26,2026,4,357.23,63.99,90.42,84.44,0.27,0.49
26,2026,5,754.84,306.48,165.40,156.56,0.25,0.23
26,2026,6,250.05,488.90,251.84,251.60,0.11,0.09
26,2026,7,31.98,226.00,107.63,113.85,0.29,0.16
26,2026,8,304.36,87.60,96.66,89.91,0.22,0.49
26,2026,9,821.70,311.92,147.18,139.12,0.25,0.47
26,2026,10,455.92,803.87,264.71,257.34,0.34,0.18
26,2026,11,48.48,479.82,84.64,85.53,0.54,0.10
26,2026,12,78.90,121.97,107.31,110.11,0.05,0.14
26,2027,1,441.92,66.89,93.63,86.37,0.30,0.54
26,2027,2,772.84,420.88,202.67,192.86,0.31,0.24
26,2027,3,102.05,396.60,209.49,209.83,0.04,0.12
26,2027,4,37.88,166.44,112.04,118.19,0.21,0.09
26,2027,5,464.82,97.17,91.18,81.84,0.26,0.56
26,2027,6,877.79,570.34,208.91,199.90,0.32,0.42
26,2027,7,122.60,670.12,188.10,185.95,0.03,0.21
26,2027,8,36.25,197.95,109.47,116.96,0.24,0.10
26,2027,9,231.36,50.83,98.16,93.99,0.24,0.46
26,2027,10,753.88,165.88,121.44,112.95,0.27,0.36
26,2027,11,593.61,789.11,291.87,284.16,0.37,0.07
26,2027,12,47.10,598.68,77.20,73.55,0.62,0.09
26,2028,1,64.75,168.87,101.57,105.57,0.17,0.01
26,2028,2,368.09,74.33,91.08,84.86,0.26,0.47
26,2028,3,720.50,307.41,171.37,161.83,0.26,0.20
26,2028,4,206.15,417.84,240.61,241.88,0.07,0.10
26,2028,5,28.25,189.27,115.49,122.01,0.24,0.16
26,2028,6,379.15,95.28,93.11,84.90,0.23,0.51
26,2028,7,869.61,438.75,173.73,165.93,0.27,0.47
26,2028,8,289.81,767.21,233.14,227.97,0.20,0.24
26,2028,9,43.36,308.49,95.93,102.28,0.38,0.08
26,2028,10,130.66,76.41,106.11,105.49,0.14,0.37
26,2028,11,600.26,81.13,98.42,90.95,0.33,0.53
26,2028,12,767.50,675.76,266.07,256.04,0.36,0.15
